AgeDescription,Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
Paleocene-Eocene,53,53.5,50,889.7364292,601.3177352,1369.008389,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,54,56,54,1445.620912,876.3786472,2756.388709,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,54,56,54,954.5819286,640.5793284,1475.714187,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,54,56,54,881.7398691,599.9180836,1337.332613,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,54,56,54,1405.022435,859.1693385,2616.598095,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,54,56,54,1371.671141,843.4141003,2547.953148,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,55,56,54,1333.713426,825.2787814,2450.090548,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,55,56,54,1370.498367,849.3786454,2540.03666,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,55,56,54,896.9785559,607.9633891,1368.774263,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,55,56,54,1094.637145,715.3091757,1803.983661,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,56,56,54,1332.274654,829.5600228,2434.734595,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
Paleocene-Eocene,56,56,54,1368.744442,841.9861714,2527.776585,Schoon et al. 2011,ACEX-M4A,87.86658,136.17735,,https://doi.org/10.1029/2010PA002028
"Campanian, Cretaceous",78,83.6,72.1,993.7631122,701.0987002,1418.626472,Alizadah et al. 2015,Abadan Plain,,,,
"Con/Camp, Cretaceous",81,89.8,72,608.955608,443.5385701,819.4016766,Witkowski2018,Africa,,,,
"Santonian, Cretaceous",85,86.3,83.6,662.0619996,485.3842752,884.9360144,Alizadah et al. 2015,Abadan Plain,,,,
"Santonian, Cretaceous",86,87,84,606.622027,452.210575,796.6472519,Bice et al. 2006,ODP1257,9.45343,-54.34158,,
"Coniacian, Cretaceous",88,89,87,763.3688322,560.2412868,1018.947231,Bice et al. 2006,ODP1257,9.45343,-54.34158,,
"Turonian, Cretaceous",89.5,90.5,88.5,872.7769797,636.3019816,1186.408854,Bice et al. 2006,ODP1257,9.45343,-54.34158,,
"Turonian, Cretaceous",91,92,90,702.7541071,522.7587889,924.7074917,Bice et al. 2006,ODP1260,9.26551,-54.5442,,
"Cen/Tur, Cretaceous",94,96,92,512.4441534,376.8904525,676.4165091,Witkowski2018,Africa,,,,
"Cen/Tur, Cretaceous",94,96,92,716.9373657,518.9081107,981.0602631,Witkowski2018,Middle East,,,,
"Cen/Tur, Cretaceous",94,96,92,904.8397519,647.736014,1267.393664,Alizadah et al. 2015,Abadan Plain,,,,
"Cen/Tur, Cretaceous",94,96,92,1059.811906,744.8697683,1532.353785,Alizadah et al. 2015,Abadan Plain,,,,
